File,Model,Verdict,Exact Duplicates,Fuzzy Duplicates,Max Pattern Sequence,Entry Count,Anchor Coverage,Summary
GPT-5.2 Thinking V2 LIST 1 (February 4, 2026).txt,GPT-5.2 Thinking V2,PASS,12,5,0,500,59/61,"List passes all quality checks"
claude-opus-4.5 V2 LIST 1 (February 4, 2026).txt,claude-opus-4.5 V2,PASS,1,3,0,500,58/61,"List passes all quality checks"
claude-opus-4.5 V2 LIST 2 (February 4, 2026).txt,claude-opus-4.5 V2,PASS,2,1,0,500,58/61,"List passes all quality checks"
claude-opus-4.5 V2 LIST 3 (February 4, 2026).txt,claude-opus-4.5 V2,PASS,0,4,0,500,60/61,"List passes all quality checks"
claude-sonnet-4.5 V2 LIST 1 (February 4, 2026).txt,claude-sonnet-4.5 V2,WARN,0,13,0,404,59/61,"Issues: 404 entries (expected 500 or 1000)"
claude-sonnet-4.5 V2 LIST 2 (February 4, 2026).txt,claude-sonnet-4.5 V2,PASS,0,2,0,500,59/61,"List passes all quality checks"
claude-sonnet-4.5 V2 LIST 3 (February 4, 2026).txt,claude-sonnet-4.5 V2,PASS,29,6,0,500,58/61,"List passes all quality checks"
claude-sonnet-4.5 V2 LIST 4 (February 4, 2026).txt,claude-sonnet-4.5 V2,PASS,0,2,10,500,58/61,"List passes all quality checks"
claude-sonnet-4.5 V2 LIST 5 (February 4, 2026).txt,claude-sonnet-4.5 V2,PASS,1,2,11,500,60/61,"List passes all quality checks"
gemini-3-flash-preview V2 LIST 1 (February 4, 2026).txt,gemini-3-flash-preview V2,PASS,7,2,0,500,58/61,"List passes all quality checks"
gemini-3-flash-preview V2 LIST 2 (February 4, 2026).txt,gemini-3-flash-preview V2,PASS,2,1,0,500,58/61,"List passes all quality checks"
gemini-3-flash-preview V2 LIST 3 (February 4, 2026).txt,gemini-3-flash-preview V2,PASS,4,3,0,500,58/61,"List passes all quality checks"
gemini-3-flash-preview V2 LIST 4 (February 4, 2026).txt,gemini-3-flash-preview V2,PASS,18,1,0,500,56/61,"List passes all quality checks"
gemini-3-pro V2 LIST 1 (February 4, 2026).txt,gemini-3-pro V2,FAIL,6,3,0,507,59/61,"Issues: 6 exact duplicates; 507 entries (expected 500 or 1000); non-sequential ranks"
gemini-3-pro V2 LIST 2 (February 4, 2026).txt,gemini-3-pro V2,PASS,3,4,0,500,57/61,"List passes all quality checks"
gemini-3-pro V2 LIST 3 (February 4, 2026).txt,gemini-3-pro V2,PASS,2,4,0,500,57/61,"List passes all quality checks"
grok-4.1-fast V2 LIST 1 (February 4, 2026).txt,grok-4.1-fast V2,PASS,0,5,0,500,58/61,"List passes all quality checks"
